source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/virulent-antisemite-tells-jeanine-pirro-2nd-amendment-needed-take-care-these-vermin-who
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-ignoring-trump-denigrating-medal-honor-recipients
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/fox-news-completely-ignored-louisiana-criminalizing-abortion-pills
https://www.mediamatters.org/	https://www.mediamatters.org/#narrative
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/laura-ingraham-complains-about-american-citizens-voting-democrats
https://www.mediamatters.org/	https://www.mediamatters.org/msnbc/msnbcs-deadline-white-house-angelo-carusone-discusses-links-between-project-2025-and-trump
https://www.mediamatters.org/	https://www.mediamatters.org/project-2025/former-project-2025-director-suggests-rfk-jr-should-run-cdc-hhs-or-fda-second-trump
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-host-says-all-cat-ladies-were-represented-dnc
https://www.mediamatters.org/	https://www.mediamatters.org/tim-walz/right-wing-media-throw-hail-mary-they-criticize-tim-walz-assistant-coach-role
https://www.mediamatters.org/	https://www.mediamatters.org/google/google-demonetized-heartland-institute-june-here-are-4-more-channels-violate-its-climate
https://www.mediamatters.org/	https://www.mediamatters.org/roger-stone/roger-stone-and-alex-jones-endorse-rfk-jr-cia-director-second-trump-administration
https://www.mediamatters.org/	https://www.mediamatters.org/project-2025
https://www.mediamatters.org/	https://www.mediamatters.org/laura-loomer/guide-laura-loomer-trump-ally-and-pro-white-nationalism-bigot
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/jesse-watters-promises-get-truth-about-barack-obamas-birth-certificate
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-newt-gingrich-uses-ongoing-mass-shooting-maine-push-less-restrictive-gun-laws
